"Town/County","FIPS","Year","Town Profile Year","Measure Type","Variable","Value"
"Ashford","0901501430",2015,2017,"Number","Total Housing Units",1898
"Ashford","0901501430",2015,2017,"Number","Housing Units Built Before 1950",229
"Ashford","0901501430",2015,2017,"Percent","Housing Units Built Before 1950",12.1
"Ashford","0901501430",2016,2018,"Number","Total Housing Units",1859
"Ashford","0901501430",2016,2018,"Number","Housing Units Built Before 1950",154
"Ashford","0901501430",2016,2018,"Percent","Housing Units Built Before 1950",8.3
"Ashford","0901501430",2017,2019,"Number","Total Housing Units",1954
"Ashford","0901501430",2017,2019,"Number","Housing Units Built Before 1950",175
"Ashford","0901501430",2017,2019,"Percent","Housing Units Built Before 1950",9
"Ashford","0901501430",2018,2020,"Number","Total Housing Units",1929
"Ashford","0901501430",2018,2020,"Number","Housing Units Built Before 1950",190
"Ashford","0901501430",2018,2020,"Percent","Housing Units Built Before 1950",9.8
"Avon","0900302060",2013,2015,"Number","Total Housing Units",7454
"Avon","0900302060",2013,2015,"Number","Housing Units Built Before 1950",662
"Avon","0900302060",2013,2015,"Percent","Housing Units Built Before 1950",8.9
"Avon","0900302060",2014,2016,"Number","Total Housing Units",7436
"Avon","0900302060",2014,2016,"Number","Housing Units Built Before 1950",666
"Avon","0900302060",2014,2016,"Percent","Housing Units Built Before 1950",9
"Avon","0900302060",2015,2017,"Number","Total Housing Units",7342
"Avon","0900302060",2015,2017,"Number","Housing Units Built Before 1950",708
"Avon","0900302060",2015,2017,"Percent","Housing Units Built Before 1950",9.6
"Avon","0900302060",2016,2018,"Number","Total Housing Units",7415
"Avon","0900302060",2016,2018,"Number","Housing Units Built Before 1950",739
"Avon","0900302060",2016,2018,"Percent","Housing Units Built Before 1950",10
"Avon","0900302060",2017,2019,"Number","Total Housing Units",7357
"Avon","0900302060",2017,2019,"Number","Housing Units Built Before 1950",679
"Avon","0900302060",2017,2019,"Percent","Housing Units Built Before 1950",9.2
"Avon","0900302060",2018,2020,"Number","Total Housing Units",7406
"Avon","0900302060",2018,2020,"Number","Housing Units Built Before 1950",739
"Avon","0900302060",2018,2020,"Percent","Housing Units Built Before 1950",10
"Barkhamsted","0900502760",2013,2015,"Number","Total Housing Units",1537
"Barkhamsted","0900502760",2013,2015,"Number","Housing Units Built Before 1950",237
"Barkhamsted","0900502760",2013,2015,"Percent","Housing Units Built Before 1950",15.4
"Barkhamsted","0900502760",2014,2016,"Number","Total Housing Units",1561
"Barkhamsted","0900502760",2014,2016,"Number","Housing Units Built Before 1950",218
"Barkhamsted","0900502760",2014,2016,"Percent","Housing Units Built Before 1950",14
"Barkhamsted","0900502760",2015,2017,"Number","Total Housing Units",1500
"Barkhamsted","0900502760",2015,2017,"Number","Housing Units Built Before 1950",179
"Barkhamsted","0900502760",2015,2017,"Percent","Housing Units Built Before 1950",11.9
"Barkhamsted","0900502760",2016,2018,"Number","Total Housing Units",1505
"Barkhamsted","0900502760",2016,2018,"Number","Housing Units Built Before 1950",212
"Barkhamsted","0900502760",2016,2018,"Percent","Housing Units Built Before 1950",14.1
"Barkhamsted","0900502760",2017,2019,"Number","Total Housing Units",1469
"Barkhamsted","0900502760",2017,2019,"Number","Housing Units Built Before 1950",243
"Barkhamsted","0900502760",2017,2019,"Percent","Housing Units Built Before 1950",16.5
"Barkhamsted","0900502760",2018,2020,"Number","Total Housing Units",1463
"Barkhamsted","0900502760",2018,2020,"Number","Housing Units Built Before 1950",250
"Barkhamsted","0900502760",2018,2020,"Percent","Housing Units Built Before 1950",17.1
"Beacon Falls","0900903250",2013,2015,"Number","Total Housing Units",2479
"Beacon Falls","0900903250",2013,2015,"Number","Housing Units Built Before 1950",496
"Beacon Falls","0900903250",2013,2015,"Percent","Housing Units Built Before 1950",20
"Beacon Falls","0900903250",2014,2016,"Number","Total Housing Units",2579
"Beacon Falls","0900903250",2014,2016,"Number","Housing Units Built Before 1950",544
"Beacon Falls","0900903250",2014,2016,"Percent","Housing Units Built Before 1950",21.1
"Beacon Falls","0900903250",2015,2017,"Number","Total Housing Units",2623
"Beacon Falls","0900903250",2015,2017,"Number","Housing Units Built Before 1950",568
"Beacon Falls","0900903250",2015,2017,"Percent","Housing Units Built Before 1950",21.7
"Beacon Falls","0900903250",2016,2018,"Number","Total Housing Units",2678
"Beacon Falls","0900903250",2016,2018,"Number","Housing Units Built Before 1950",578
"Beacon Falls","0900903250",2016,2018,"Percent","Housing Units Built Before 1950",21.6
"Beacon Falls","0900903250",2017,2019,"Number","Total Housing Units",2688
"Beacon Falls","0900903250",2017,2019,"Number","Housing Units Built Before 1950",474
"Beacon Falls","0900903250",2017,2019,"Percent","Housing Units Built Before 1950",17.6
"Beacon Falls","0900903250",2018,2020,"Number","Total Housing Units",2747
"Beacon Falls","0900903250",2018,2020,"Number","Housing Units Built Before 1950",485
"Beacon Falls","0900903250",2018,2020,"Percent","Housing Units Built Before 1950",17.7
"Berlin","0900304300",2013,2015,"Number","Total Housing Units",7961
"Berlin","0900304300",2013,2015,"Number","Housing Units Built Before 1950",1659
"Berlin","0900304300",2013,2015,"Percent","Housing Units Built Before 1950",20.8
"Berlin","0900304300",2014,2016,"Number","Total Housing Units",8218
"Berlin","0900304300",2014,2016,"Number","Housing Units Built Before 1950",1684
"Berlin","0900304300",2014,2016,"Percent","Housing Units Built Before 1950",20.5
"Berlin","0900304300",2015,2017,"Number","Total Housing Units",8333
"Berlin","0900304300",2015,2017,"Number","Housing Units Built Before 1950",1675
"Berlin","0900304300",2015,2017,"Percent","Housing Units Built Before 1950",20.1
"Berlin","0900304300",2016,2018,"Number","Total Housing Units",8427
"Berlin","0900304300",2016,2018,"Number","Housing Units Built Before 1950",1740
"Berlin","0900304300",2016,2018,"Percent","Housing Units Built Before 1950",20.6
"Berlin","0900304300",2017,2019,"Number","Total Housing Units",8530
"Berlin","0900304300",2017,2019,"Number","Housing Units Built Before 1950",1611
"Berlin","0900304300",2017,2019,"Percent","Housing Units Built Before 1950",18.9
"Berlin","0900304300",2018,2020,"Number","Total Housing Units",8642
"Berlin","0900304300",2018,2020,"Number","Housing Units Built Before 1950",1654
"Berlin","0900304300",2018,2020,"Percent","Housing Units Built Before 1950",19.1
"Bethany","0900904580",2013,2015,"Number","Total Housing Units",2031
"Bethany","0900904580",2013,2015,"Number","Housing Units Built Before 1950",282
"Bethany","0900904580",2013,2015,"Percent","Housing Units Built Before 1950",13.9
"Bethany","0900904580",2014,2016,"Number","Total Housing Units",2105
"Bethany","0900904580",2014,2016,"Number","Housing Units Built Before 1950",269
"Bethany","0900904580",2014,2016,"Percent","Housing Units Built Before 1950",12.8
"Bethany","0900904580",2015,2017,"Number","Total Housing Units",2060
"Bethany","0900904580",2015,2017,"Number","Housing Units Built Before 1950",263
"Bethany","0900904580",2015,2017,"Percent","Housing Units Built Before 1950",12.8
"Bethany","0900904580",2016,2018,"Number","Total Housing Units",2017
"Bethany","0900904580",2016,2018,"Number","Housing Units Built Before 1950",278
"Bethany","0900904580",2016,2018,"Percent","Housing Units Built Before 1950",13.8
"Bethany","0900904580",2017,2019,"Number","Total Housing Units",2065
"Bethany","0900904580",2017,2019,"Number","Housing Units Built Before 1950",358
"Bethany","0900904580",2017,2019,"Percent","Housing Units Built Before 1950",17.3
"Bethany","0900904580",2018,2020,"Number","Total Housing Units",2041
"Bethany","0900904580",2018,2020,"Number","Housing Units Built Before 1950",401
"Bethany","0900904580",2018,2020,"Percent","Housing Units Built Before 1950",19.6
"Bethel","0900104720",2013,2015,"Number","Total Housing Units",7139
"Bethel","0900104720",2013,2015,"Number","Housing Units Built Before 1950",1688
"Bethel","0900104720",2013,2015,"Percent","Housing Units Built Before 1950",23.6
"Bethel","0900104720",2014,2016,"Number","Total Housing Units",7388
"Bethel","0900104720",2014,2016,"Number","Housing Units Built Before 1950",1638
"Bethel","0900104720",2014,2016,"Percent","Housing Units Built Before 1950",22.2
"Bethel","0900104720",2015,2017,"Number","Total Housing Units",7540
"Bethel","0900104720",2015,2017,"Number","Housing Units Built Before 1950",1597
"Bethel","0900104720",2015,2017,"Percent","Housing Units Built Before 1950",21.2
"Bethel","0900104720",2016,2018,"Number","Total Housing Units",7563
"Bethel","0900104720",2016,2018,"Number","Housing Units Built Before 1950",1559
"Bethel","0900104720",2016,2018,"Percent","Housing Units Built Before 1950",20.6
"Bethel","0900104720",2017,2019,"Number","Total Housing Units",7554
"Bethel","0900104720",2017,2019,"Number","Housing Units Built Before 1950",1649
"Bethel","0900104720",2017,2019,"Percent","Housing Units Built Before 1950",21.8
"Bethel","0900104720",2018,2020,"Number","Total Housing Units",7706
"Bethel","0900104720",2018,2020,"Number","Housing Units Built Before 1950",1645
"Bethel","0900104720",2018,2020,"Percent","Housing Units Built Before 1950",21.3
"Bethlehem","0900504930",2013,2015,"Number","Total Housing Units",1521
"Bethlehem","0900504930",2013,2015,"Number","Housing Units Built Before 1950",306
"Bethlehem","0900504930",2013,2015,"Percent","Housing Units Built Before 1950",20.1
"Bethlehem","0900504930",2014,2016,"Number","Total Housing Units",1502
"Bethlehem","0900504930",2014,2016,"Number","Housing Units Built Before 1950",305
"Bethlehem","0900504930",2014,2016,"Percent","Housing Units Built Before 1950",20.3
"Bethlehem","0900504930",2015,2017,"Number","Total Housing Units",1493
"Bethlehem","0900504930",2015,2017,"Number","Housing Units Built Before 1950",268
"Bethlehem","0900504930",2015,2017,"Percent","Housing Units Built Before 1950",18
"Bethlehem","0900504930",2016,2018,"Number","Total Housing Units",1547
"Bethlehem","0900504930",2016,2018,"Number","Housing Units Built Before 1950",275
"Bethlehem","0900504930",2016,2018,"Percent","Housing Units Built Before 1950",17.8
"Bethlehem","0900504930",2017,2019,"Number","Total Housing Units",1640
"Bethlehem","0900504930",2017,2019,"Number","Housing Units Built Before 1950",298
"Bethlehem","0900504930",2017,2019,"Percent","Housing Units Built Before 1950",18.2
"Bethlehem","0900504930",2018,2020,"Number","Total Housing Units",1655
"Bethlehem","0900504930",2018,2020,"Number","Housing Units Built Before 1950",272
"Bethlehem","0900504930",2018,2020,"Percent","Housing Units Built Before 1950",16.4
"Bloomfield","0900305910",2013,2015,"Number","Total Housing Units",8877
"Bloomfield","0900305910",2013,2015,"Number","Housing Units Built Before 1950",1129
"Bloomfield","0900305910",2013,2015,"Percent","Housing Units Built Before 1950",12.7
"Bloomfield","0900305910",2014,2016,"Number","Total Housing Units",8746
"Bloomfield","0900305910",2014,2016,"Number","Housing Units Built Before 1950",1294
"Bloomfield","0900305910",2014,2016,"Percent","Housing Units Built Before 1950",14.8
"Bloomfield","0900305910",2015,2017,"Number","Total Housing Units",8823
"Bloomfield","0900305910",2015,2017,"Number","Housing Units Built Before 1950",1278
"Bloomfield","0900305910",2015,2017,"Percent","Housing Units Built Before 1950",14.5
"Bloomfield","0900305910",2016,2018,"Number","Total Housing Units",8807
"Bloomfield","0900305910",2016,2018,"Number","Housing Units Built Before 1950",1061
"Bloomfield","0900305910",2016,2018,"Percent","Housing Units Built Before 1950",12
"Bloomfield","0900305910",2017,2019,"Number","Total Housing Units",9036
"Bloomfield","0900305910",2017,2019,"Number","Housing Units Built Before 1950",1131
"Bloomfield","0900305910",2017,2019,"Percent","Housing Units Built Before 1950",12.5
"Bloomfield","0900305910",2018,2020,"Number","Total Housing Units",9118
"Bloomfield","0900305910",2018,2020,"Number","Housing Units Built Before 1950",1145
"Bloomfield","0900305910",2018,2020,"Percent","Housing Units Built Before 1950",12.6
"Bolton","0901306260",2013,2015,"Number","Total Housing Units",2211
"Bolton","0901306260",2013,2015,"Number","Housing Units Built Before 1950",425
"Bolton","0901306260",2013,2015,"Percent","Housing Units Built Before 1950",19.2
"Bolton","0901306260",2014,2016,"Number","Total Housing Units",2141
"Bolton","0901306260",2014,2016,"Number","Housing Units Built Before 1950",372
"Bolton","0901306260",2014,2016,"Percent","Housing Units Built Before 1950",17.4
"Bolton","0901306260",2015,2017,"Number","Total Housing Units",2131
"Bolton","0901306260",2015,2017,"Number","Housing Units Built Before 1950",313
"Bolton","0901306260",2015,2017,"Percent","Housing Units Built Before 1950",14.7
"Bolton","0901306260",2016,2018,"Number","Total Housing Units",2118
"Bolton","0901306260",2016,2018,"Number","Housing Units Built Before 1950",246
"Bolton","0901306260",2016,2018,"Percent","Housing Units Built Before 1950",11.6
"Bolton","0901306260",2017,2019,"Number","Total Housing Units",2039
"Bolton","0901306260",2017,2019,"Number","Housing Units Built Before 1950",309
"Bolton","0901306260",2017,2019,"Percent","Housing Units Built Before 1950",15.2
"Bolton","0901306260",2018,2020,"Number","Total Housing Units",1932
"Bolton","0901306260",2018,2020,"Number","Housing Units Built Before 1950",305
"Bolton","0901306260",2018,2020,"Percent","Housing Units Built Before 1950",15.8
"Bozrah","0901106820",2013,2015,"Number","Total Housing Units",1033
"Bozrah","0901106820",2013,2015,"Number","Housing Units Built Before 1950",207
"Bozrah","0901106820",2013,2015,"Percent","Housing Units Built Before 1950",20
"Bozrah","0901106820",2014,2016,"Number","Total Housing Units",1109
"Bozrah","0901106820",2014,2016,"Number","Housing Units Built Before 1950",253
"Bozrah","0901106820",2014,2016,"Percent","Housing Units Built Before 1950",22.8
"Bozrah","0901106820",2015,2017,"Number","Total Housing Units",1087
"Bozrah","0901106820",2015,2017,"Number","Housing Units Built Before 1950",215
"Bozrah","0901106820",2015,2017,"Percent","Housing Units Built Before 1950",19.8
"Bozrah","0901106820",2016,2018,"Number","Total Housing Units",1089
"Bozrah","0901106820",2016,2018,"Number","Housing Units Built Before 1950",235
"Bozrah","0901106820",2016,2018,"Percent","Housing Units Built Before 1950",21.6
"Bozrah","0901106820",2017,2019,"Number","Total Housing Units",1106
"Bozrah","0901106820",2017,2019,"Number","Housing Units Built Before 1950",303
"Bozrah","0901106820",2017,2019,"Percent","Housing Units Built Before 1950",27.4
"Bozrah","0901106820",2018,2020,"Number","Total Housing Units",1079
"Bozrah","0901106820",2018,2020,"Number","Housing Units Built Before 1950",333
"Bozrah","0901106820",2018,2020,"Percent","Housing Units Built Before 1950",30.9
"Branford","0900907310",2013,2015,"Number","Total Housing Units",13304
"Branford","0900907310",2013,2015,"Number","Housing Units Built Before 1950",3775
"Branford","0900907310",2013,2015,"Percent","Housing Units Built Before 1950",28.4
"Branford","0900907310",2014,2016,"Number","Total Housing Units",13747
"Branford","0900907310",2014,2016,"Number","Housing Units Built Before 1950",3862
"Branford","0900907310",2014,2016,"Percent","Housing Units Built Before 1950",28.1
"Branford","0900907310",2015,2017,"Number","Total Housing Units",13967
"Branford","0900907310",2015,2017,"Number","Housing Units Built Before 1950",3721
"Branford","0900907310",2015,2017,"Percent","Housing Units Built Before 1950",26.6
"Branford","0900907310",2016,2018,"Number","Total Housing Units",13717
"Branford","0900907310",2016,2018,"Number","Housing Units Built Before 1950",3516
"Branford","0900907310",2016,2018,"Percent","Housing Units Built Before 1950",25.6
"Branford","0900907310",2017,2019,"Number","Total Housing Units",13773
"Branford","0900907310",2017,2019,"Number","Housing Units Built Before 1950",3513
"Branford","0900907310",2017,2019,"Percent","Housing Units Built Before 1950",25.5
"Branford","0900907310",2018,2020,"Number","Total Housing Units",13842
"Branford","0900907310",2018,2020,"Number","Housing Units Built Before 1950",3382
"Branford","0900907310",2018,2020,"Percent","Housing Units Built Before 1950",24.4
"Bridgeport","0900108070",2013,2015,"Number","Total Housing Units",57881
"Bridgeport","0900108070",2013,2015,"Number","Housing Units Built Before 1950",27445
"Bridgeport","0900108070",2013,2015,"Percent","Housing Units Built Before 1950",47.4
"Bridgeport","0900108070",2014,2016,"Number","Total Housing Units",57709
"Bridgeport","0900108070",2014,2016,"Number","Housing Units Built Before 1950",28658
"Bridgeport","0900108070",2014,2016,"Percent","Housing Units Built Before 1950",49.7
"Bridgeport","0900108070",2015,2017,"Number","Total Housing Units",57889
"Bridgeport","0900108070",2015,2017,"Number","Housing Units Built Before 1950",29517
"Bridgeport","0900108070",2015,2017,"Percent","Housing Units Built Before 1950",51
"Bridgeport","0900108070",2016,2018,"Number","Total Housing Units",57658
"Bridgeport","0900108070",2016,2018,"Number","Housing Units Built Before 1950",30266
"Bridgeport","0900108070",2016,2018,"Percent","Housing Units Built Before 1950",52.5
"Bridgeport","0900108070",2017,2019,"Number","Total Housing Units",58124
"Bridgeport","0900108070",2017,2019,"Number","Housing Units Built Before 1950",31098
"Bridgeport","0900108070",2017,2019,"Percent","Housing Units Built Before 1950",53.5
"Bridgeport","0900108070",2018,2020,"Number","Total Housing Units",58370
"Bridgeport","0900108070",2018,2020,"Number","Housing Units Built Before 1950",31523
"Bridgeport","0900108070",2018,2020,"Percent","Housing Units Built Before 1950",54
"Bridgewater","0900508210",2013,2015,"Number","Total Housing Units",887
"Bridgewater","0900508210",2013,2015,"Number","Housing Units Built Before 1950",284
"Bridgewater","0900508210",2013,2015,"Percent","Housing Units Built Before 1950",32
"Bridgewater","0900508210",2014,2016,"Number","Total Housing Units",896
"Bridgewater","0900508210",2014,2016,"Number","Housing Units Built Before 1950",303
"Bridgewater","0900508210",2014,2016,"Percent","Housing Units Built Before 1950",33.8
"Bridgewater","0900508210",2015,2017,"Number","Total Housing Units",886
"Bridgewater","0900508210",2015,2017,"Number","Housing Units Built Before 1950",324
"Bridgewater","0900508210",2015,2017,"Percent","Housing Units Built Before 1950",36.6
"Bridgewater","0900508210",2016,2018,"Number","Total Housing Units",892
"Bridgewater","0900508210",2016,2018,"Number","Housing Units Built Before 1950",314
"Bridgewater","0900508210",2016,2018,"Percent","Housing Units Built Before 1950",35.2
"Bridgewater","0900508210",2017,2019,"Number","Total Housing Units",868
"Bridgewater","0900508210",2017,2019,"Number","Housing Units Built Before 1950",305
"Bridgewater","0900508210",2017,2019,"Percent","Housing Units Built Before 1950",35.1
"Bridgewater","0900508210",2018,2020,"Number","Total Housing Units",864
"Bridgewater","0900508210",2018,2020,"Number","Housing Units Built Before 1950",294
"Bridgewater","0900508210",2018,2020,"Percent","Housing Units Built Before 1950",34
"Bristol","0900308490",2013,2015,"Number","Total Housing Units",26963
"Bristol","0900308490",2013,2015,"Number","Housing Units Built Before 1950",7911
"Bristol","0900308490",2013,2015,"Percent","Housing Units Built Before 1950",29.3
"Bristol","0900308490",2014,2016,"Number","Total Housing Units",27131
"Bristol","0900308490",2014,2016,"Number","Housing Units Built Before 1950",7484
"Bristol","0900308490",2014,2016,"Percent","Housing Units Built Before 1950",27.6
"Bristol","0900308490",2015,2017,"Number","Total Housing Units",26953
"Bristol","0900308490",2015,2017,"Number","Housing Units Built Before 1950",7677
"Bristol","0900308490",2015,2017,"Percent","Housing Units Built Before 1950",28.5
"Bristol","0900308490",2016,2018,"Number","Total Housing Units",26917
"Bristol","0900308490",2016,2018,"Number","Housing Units Built Before 1950",8139
"Bristol","0900308490",2016,2018,"Percent","Housing Units Built Before 1950",30.2
"Bristol","0900308490",2017,2019,"Number","Total Housing Units",26862
"Bristol","0900308490",2017,2019,"Number","Housing Units Built Before 1950",7989
"Bristol","0900308490",2017,2019,"Percent","Housing Units Built Before 1950",29.7
"Bristol","0900308490",2018,2020,"Number","Total Housing Units",26465
"Bristol","0900308490",2018,2020,"Number","Housing Units Built Before 1950",7732
"Bristol","0900308490",2018,2020,"Percent","Housing Units Built Before 1950",29.2
"Brookfield","0900108980",2013,2015,"Number","Total Housing Units",6490
"Brookfield","0900108980",2013,2015,"Number","Housing Units Built Before 1950",580
"Brookfield","0900108980",2013,2015,"Percent","Housing Units Built Before 1950",8.9
"Brookfield","0900108980",2014,2016,"Number","Total Housing Units",6553
"Brookfield","0900108980",2014,2016,"Number","Housing Units Built Before 1950",711
"Brookfield","0900108980",2014,2016,"Percent","Housing Units Built Before 1950",10.8
"Brookfield","0900108980",2015,2017,"Number","Total Housing Units",6507
"Brookfield","0900108980",2015,2017,"Number","Housing Units Built Before 1950",712
"Brookfield","0900108980",2015,2017,"Percent","Housing Units Built Before 1950",10.9
"Brookfield","0900108980",2016,2018,"Number","Total Housing Units",6593
"Brookfield","0900108980",2016,2018,"Number","Housing Units Built Before 1950",778
"Brookfield","0900108980",2016,2018,"Percent","Housing Units Built Before 1950",11.8
"Brookfield","0900108980",2017,2019,"Number","Total Housing Units",6573
"Brookfield","0900108980",2017,2019,"Number","Housing Units Built Before 1950",720
"Brookfield","0900108980",2017,2019,"Percent","Housing Units Built Before 1950",11
"Brookfield","0900108980",2018,2020,"Number","Total Housing Units",6593
"Brookfield","0900108980",2018,2020,"Number","Housing Units Built Before 1950",681
"Brookfield","0900108980",2018,2020,"Percent","Housing Units Built Before 1950",10.3
"Brooklyn","0901509190",2013,2015,"Number","Total Housing Units",3182
"Brooklyn","0901509190",2013,2015,"Number","Housing Units Built Before 1950",780
"Brooklyn","0901509190",2013,2015,"Percent","Housing Units Built Before 1950",24.5
"Brooklyn","0901509190",2014,2016,"Number","Total Housing Units",3188
"Brooklyn","0901509190",2014,2016,"Number","Housing Units Built Before 1950",766
"Brooklyn","0901509190",2014,2016,"Percent","Housing Units Built Before 1950",24
"Brooklyn","0901509190",2015,2017,"Number","Total Housing Units",3160
"Brooklyn","0901509190",2015,2017,"Number","Housing Units Built Before 1950",741
"Brooklyn","0901509190",2015,2017,"Percent","Housing Units Built Before 1950",23.4
"Brooklyn","0901509190",2016,2018,"Number","Total Housing Units",3141
"Brooklyn","0901509190",2016,2018,"Number","Housing Units Built Before 1950",628
"Brooklyn","0901509190",2016,2018,"Percent","Housing Units Built Before 1950",20
"Brooklyn","0901509190",2017,2019,"Number","Total Housing Units",3239
"Brooklyn","0901509190",2017,2019,"Number","Housing Units Built Before 1950",597
"Brooklyn","0901509190",2017,2019,"Percent","Housing Units Built Before 1950",18.4
"Brooklyn","0901509190",2018,2020,"Number","Total Housing Units",3241
"Brooklyn","0901509190",2018,2020,"Number","Housing Units Built Before 1950",718
"Brooklyn","0901509190",2018,2020,"Percent","Housing Units Built Before 1950",22.2
"Burlington","0900310100",2013,2015,"Number","Total Housing Units",3601
"Burlington","0900310100",2013,2015,"Number","Housing Units Built Before 1950",314
"Burlington","0900310100",2013,2015,"Percent","Housing Units Built Before 1950",8.7
"Burlington","0900310100",2014,2016,"Number","Total Housing Units",3541
"Burlington","0900310100",2014,2016,"Number","Housing Units Built Before 1950",265
"Burlington","0900310100",2014,2016,"Percent","Housing Units Built Before 1950",7.5
"Burlington","0900310100",2015,2017,"Number","Total Housing Units",3535
"Burlington","0900310100",2015,2017,"Number","Housing Units Built Before 1950",307
"Burlington","0900310100",2015,2017,"Percent","Housing Units Built Before 1950",8.7
"Burlington","0900310100",2016,2018,"Number","Total Housing Units",3529
"Burlington","0900310100",2016,2018,"Number","Housing Units Built Before 1950",385
"Burlington","0900310100",2016,2018,"Percent","Housing Units Built Before 1950",10.9
"Burlington","0900310100",2017,2019,"Number","Total Housing Units",3595
"Burlington","0900310100",2017,2019,"Number","Housing Units Built Before 1950",415
"Burlington","0900310100",2017,2019,"Percent","Housing Units Built Before 1950",11.5
"Burlington","0900310100",2018,2020,"Number","Total Housing Units",3579
"Burlington","0900310100",2018,2020,"Number","Housing Units Built Before 1950",403
"Burlington","0900310100",2018,2020,"Percent","Housing Units Built Before 1950",11.3
"Canaan","0900510940",2013,2015,"Number","Total Housing Units",764
"Canaan","0900510940",2013,2015,"Number","Housing Units Built Before 1950",306
"Canaan","0900510940",2013,2015,"Percent","Housing Units Built Before 1950",40.1
"Canaan","0900510940",2014,2016,"Number","Total Housing Units",772
"Canaan","0900510940",2014,2016,"Number","Housing Units Built Before 1950",306
"Canaan","0900510940",2014,2016,"Percent","Housing Units Built Before 1950",39.6
"Canaan","0900510940",2015,2017,"Number","Total Housing Units",746
"Canaan","0900510940",2015,2017,"Number","Housing Units Built Before 1950",293
"Canaan","0900510940",2015,2017,"Percent","Housing Units Built Before 1950",39.3
"Canaan","0900510940",2016,2018,"Number","Total Housing Units",782
"Canaan","0900510940",2016,2018,"Number","Housing Units Built Before 1950",315
"Canaan","0900510940",2016,2018,"Percent","Housing Units Built Before 1950",40.3
"Canaan","0900510940",2017,2019,"Number","Total Housing Units",714
"Canaan","0900510940",2017,2019,"Number","Housing Units Built Before 1950",317
"Canaan","0900510940",2017,2019,"Percent","Housing Units Built Before 1950",44.4
"Canaan","0900510940",2018,2020,"Number","Total Housing Units",711
"Canaan","0900510940",2018,2020,"Number","Housing Units Built Before 1950",288
"Canaan","0900510940",2018,2020,"Percent","Housing Units Built Before 1950",40.5
"Canterbury","0901512130",2013,2015,"Number","Total Housing Units",2087
"Canterbury","0901512130",2013,2015,"Number","Housing Units Built Before 1950",413
"Canterbury","0901512130",2013,2015,"Percent","Housing Units Built Before 1950",19.8
"Canterbury","0901512130",2014,2016,"Number","Total Housing Units",2031
